,,,,,,,,,,,,
PatternName,Description,PatternSummary,TriggerSignals,DiagnosticQuestions,RootCauseThemes,PatternPolarity,PatternType,PatternSeverity,PatternResolutionType,ZoneBias,PatternLevers,CandidateStrategyPathKeys
Purpose,Stable structural identifier for the pattern used by agents and system logic,Primary one-sentence structural reasoning anchor used by the agent and shown to the user when active,Signals that activate this structural condition,Questions used by the agent to validate or explain the condition,Underlying structural causes explaining why this pattern exists,Indicates whether the pattern is a risk or strength condition,Classifies the structural nature of the pattern for prioritization,Defines the structural impact level on deal success,Primary resolution mode indicating how the agent should treat the pattern when active,Zones where this pattern most commonly appears,Structural levers weakened or strengthened by this pattern,Strategy paths that may be activated when this pattern is present
Instruction,Use a short stable name describing the structural condition,A concise structural explanation of what is present what is missing and the risk created,Comma-separated list of activating signals,Provide 2–3 concise yes/no structural validation questions,List 1–3 structural causes in plain language separated by commas,Use Risk or Strength based on structural impact,Allowed values Structural Risk Momentum Risk Structural Strength Momentum Strength,Allowed values CRITICAL HIGH MEDIUM LOW highest severity structural risk takes precedence,Enter RECOVER when the pattern indicates a structural risk that should be addressed and corrected; enter ADVANCE when the pattern represents positive momentum or strength that should be leveraged; enter EXIT when the pattern indicates the opportunity may not be viable and the agent should consider recommending deprioritization or disqualification,List relevant zones separated by commas,List 1–2 levers by default up to 3 only when structurally necessary,Comma-separated list of candidate StrategyPathKeys aligned to the threatened levers
UXState,Not shown directly to the user internal identifier only,Shown to the user as the structural explanation for why the deal is in this condition,Not shown directly to the user used for agent activation logic,Used by the agent to justify the pattern and answer user questions,Not shown directly to the user used for agent reasoning only,Not shown directly to the user used for prioritization logic,Not shown directly to the user used for structural classification,Not shown directly to the user used for severity prioritization,Not shown directly to the user used by the agent to prioritize reasoning and select appropriate strategy paths,Not shown directly to the user used for zone alignment,Not shown directly to the user used for lever reasoning,Not shown directly to the user used for strategy selection
Weak Problem Definition,Buyer pain is not converted into a compelling problem with measurable consequence.,"Buyer has not established a clear, measurable problem with meaningful consequences",Problem Not Validated,"What consequence is associated with the problem, How would the business measure this problem, Why would the business prioritize solving this problem","A relevant business problem and desired outcome were not defined in terms meaningful to the buyer, Consequences of inaction were not articulated or owned by a buyer with influence",Negative,Structural Risk,CRITICAL,RECOVER,"Zone1, Zone2","Case for Change Strength, Buyer Urgency","Qualify_CaseForChange, Identify_Champion_Targets, Selling_to_Consensus, Disqualify_or_Deprioritize"
Outcome Misalignment,"Buyer has unclear or misaligned desired outcomes, leading to feature-driven conversations.",Buyer stakeholders are not aligned on desired outcomes or success criteria,Outcomes Unclear or Misaligned,"What does success look like, What future outcomes would justify making a change","Seller value framing was not anchored to buyer success criteria, Sales conversations were focused on features rather than outcomes, Stakeholder outcomes or decision criteria were misaligned across the consensus",Negative,Structural Risk,CRITICAL,RECOVER,"Zone1, Zone2","Case for Change Strength, Buyer Consensus","Qualify_CaseForChange, Position_Outcomes_Vision, Selling_to_Consensus"
Commodity Relegation,"Buyer decision criteria reduce all solutions to interchangeable options, minimizing differentiation and value.",Decision criteria favor commodity capabilities or alternatives over your differentiated strengths,No Differentiated Decision Criteria,"How has the buyer defined solution selection criteria, Which buyer problems or outcomes are driving the evaluation, What aspects of the solution has the buyer described as meaningfully different or valuable","Decision criteria were not shaped around differentiated outcomes, Internal advocacy did not influence how alternatives were evaluated",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2, Zone3, Zone4","Differentiation Leverage, Buyer Consensus","Qualify_CaseForChange, Position_Outcomes_Vision, Champion_Negotiation"
Champion Absence,"No individual is coaching, influencing, or advocating internally.",No internal advocate is actively driving the decision forward,No Named or Active Champion,"Who is selling internally on our behalf, Which buyer benefits most from the change, Do supportive buyers meet champion criteria of power, influence, and EB access","No qualified internal buyer with power, influence, and EB access was identified, Champion commitment was assumed without behavioral evidence, Engagement or rapport was treated as proof of advocacy, No strategic action was requested to validate champion influence, Trust and alignment required for advocacy were not established, Champion advocacy was not enabled to shape internal alignment and decisions",Negative,Structural Risk,CRITICAL,RECOVER,"Zone1, Zone2, Zone3, Zone4","Champion Strength, Buyer Consensus, Economic Buyer Commitment","Identify_Champion_Targets, Build_Champion, Selling_to_Consensus, Disqualify_or_Deprioritize"
Single‑Threaded Risk,"Only one buyer contact is engaged over a period of time, limiting consensus creation.","Only one stakeholder is engaged, limiting consensus formation",Single-Threaded Contact,"Are we repeatedly meeting the same person without expanding stakeholder access, Are there decision-makers or influencers we have not engaged, Has our contact introduced us to additional stakeholders","Engagement was limited to a single buyer, Stakeholder expansion was not intentionally pursued, Shared decision ownership was not established",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2","Buyer Consensus, Champion Strength","Identify_Champion_Targets, Selling_to_Consensus, Test_Champion, Decision_Process_Alignment"
Messaging Disconnect,"Buyer pushes back on claims, value, or relevance early.",Buyer reactions indicate the message is not relevant or compelling to their priorities,Buyer Objections Surfacing Early,"Is the buyer pushing back on positioning or value claims, Is the buyer unclear on solution relevance to their priorities, Is the buyer misinterpreting what the solution enables or solves","Solution value was not translated into persona-specific priorities, Messaging lacked personal relevance to the individual buyer",Negative,Structural Risk,MEDIUM,RECOVER,"Zone1, Zone2","Case for Change Strength, Differentiation Leverage","Position_Outcomes_Vision, Qualify_CaseForChange, Selling_to_Consensus"
Competitive Mindshare,"Competitor influence appears in buyer language, criteria, or behavior.",Buyer language or evaluation steps are leaning toward a competitor’s approach,Competition Gaining Mindshare,"Is the buyer signaling growing interest in a competitor, Are decision criteria being shaped around competitor strengths, Is the champion unable to influence internal narratives toward our solution","Decision criteria were shaped by competitors, incumbents, or alternative champions before seller framing, Champion advocacy did not influence alternative perception, Competing solutions or priorities gained internal influence without coordinated champion response",Negative,Structural Risk,HIGH,RECOVER,"Zone1, Zone2, Zone3, Zone4","Differentiation Leverage, Buyer Consensus","Position_Outcomes_Vision
Build_Champion
Empower_Champion"
